-0.5117;-0.5469;False;False;80.8698;-85.2799;0.1482;0.0822;-75.1498;78.0399;359.9671;359.9723;269.9932;148.6622;0.0474;-0.0004;-0.0024;-3.6259;-2.9268;-0.0054;0.0041;0.0001;233310;71.93222;Infinity;3208.83;80.3462;-84.3792;0.9296;0.8869;-75.9132;77.9167;352.6140;352.4998;259.9194;146.8422;1.3104;0.2374;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.3438;-0.0060;-0.0164;80.7404;-84.9762;1.3125;1.2442;-75.4897;78.2160;4.1837;1.4021;270.6740;149.2464;5.5331;2.5648
-0.5039;-0.5469;False;False;80.8693;-85.2798;0.0355;-0.0093;-75.1494;78.0397;359.8468;359.8792;269.9927;148.6621;0.1183;-0.0006;-0.0033;-2.2201;-1.7890;0.0017;0.0056;0.0065;233313;71.96545;Infinity;3208.88;80.3471;-84.3796;0.7970;0.7805;-75.9140;77.9174;352.5242;352.4167;259.8955;146.8418;1.4291;0.2398;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.3853;-0.0060;-0.0164;80.7420;-84.9759;1.1799;1.1368;-75.4914;78.2174;4.0671;1.3914;270.5976;148.7288;5.6781;2.5608
-0.4762;-0.5469;False;False;80.8688;-85.2796;-0.0308;-0.0615;-75.1491;78.0394;359.7204;359.7832;269.9944;148.6621;0.1535;-0.0007;-0.0029;-1.3038;-1.0075;0.0018;0.0050;0.0067;233316;71.98196;Infinity;3208.92;80.3482;-84.3801;0.7185;0.7183;-75.9142;77.9183;352.4043;352.3174;259.8892;146.8414;1.4945;0.2428;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.1, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.4270;-0.0060;-0.0164;80.7441;-84.9761;1.1008;1.0736;-75.4924;78.2190;3.9784;1.2760;270.5166;148.3548;5.7607;2.5954
-0.4087;-0.5469;False;False;80.8684;-85.2795;-0.0664;-0.0877;-75.1489;78.0392;359.6193;359.7102;269.9952;148.6620;0.1712;-0.0008;-0.0021;-0.6839;-0.4855;0.0007;0.0036;0.0053;233319;71.98749;Infinity;3208.96;80.3492;-84.3806;0.6751;0.6857;-75.9143;77.9190;352.2989;352.2355;259.8848;146.8410;1.5365;0.2454;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.1, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.4688;-0.0060;-0.0164;80.7455;-84.9763;1.0568;1.0401;-75.4930;78.2202;3.9401;1.1608;270.4110;148.1013;5.8209;2.6195
-0.3412;-0.5469;False;False;80.8682;-85.2794;-0.0818;-0.0971;-75.1489;78.0390;359.5547;359.6686;269.9955;148.6620;0.1785;-0.0008;-0.0006;-0.1346;-0.0336;-0.0008;0.0011;0.0024;233322;71.99491;Infinity;3209.00;80.3499;-84.3808;0.6545;0.6721;-75.9143;77.9194;352.2250;352.1836;259.8821;146.8407;1.5602;0.2470;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.7)_1.081002_System.String[];0.5103;-0.0060;-0.0164;80.7465;-84.9765;1.0358;1.0260;-75.4933;78.2210;3.9368;1.0367;270.2852;147.9221;5.8706;2.6523
-0.2460;-0.5469;False;False;80.8681;-85.2794;-0.0847;-0.0963;-75.1489;78.0390;359.5255;359.6567;269.9956;148.6620;0.1801;-0.0007;0.0002;0.0624;0.1223;-0.0016;-0.0003;0.0006;233325;71.99835;Infinity;3209.04;80.3503;-84.3810;0.6483;0.6702;-75.9144;77.9196;352.1855;352.1621;259.8809;146.8406;1.5706;0.2477;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.6, -0.4, 0.7)_1.081002_System.String[];0.5520;-0.0060;-0.0164;80.7471;-84.9765;1.0293;1.0238;-75.4939;78.2213;3.9540;0.9809;270.1681;147.8174;5.9012;2.6892
-0.1111;-0.5469;False;False;80.8681;-85.2794;-0.0803;-0.0899;-75.1490;78.0390;359.5253;359.6681;269.9955;148.6620;0.1789;-0.0007;0.0008;0.1726;0.2046;-0.0020;-0.0013;-0.0008;233328;71.99667;Infinity;3209.08;80.3504;-84.3809;0.6507;0.6750;-75.9145;77.9196;352.1763;352.1662;259.8807;146.8407;1.5718;0.2476;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.6, -0.4, 0.7)_1.081002_System.String[];0.5938;-0.0060;-0.0164;80.7472;-84.9764;1.0317;1.0287;-75.4944;78.2213;4.0052;0.9801;270.0875;147.7532;5.8991;2.7602
0.0000;-0.5469;False;False;80.8682;-85.2795;-0.0722;-0.0807;-75.1491;78.0391;359.5460;359.6958;269.9954;148.6620;0.1764;-0.0007;0.0011;0.2249;0.2384;-0.0023;-0.0019;-0.0018;233331;71.99892;Infinity;3209.13;80.3502;-84.3808;0.6577;0.6832;-75.9145;77.9194;352.1901;352.1891;259.8812;146.8408;1.5671;0.2469;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.6, -0.4, 0.7)_1.081002_System.String[];0.6353;-0.0060;-0.0164;80.7470;-84.9761;1.0392;1.0371;-75.4950;78.2210;4.0616;1.0680;270.0578;147.7563;5.9022;2.7886
0.0000;-0.5469;False;False;80.8683;-85.2795;-0.0625;-0.0706;-75.1492;78.0392;359.5803;359.7332;269.9976;148.6621;0.1737;-0.0007;0.0013;0.2401;0.2419;-0.0024;-0.0022;-0.0020;233334;71.99715;Infinity;3209.17;80.3500;-84.3806;0.6668;0.6928;-75.9146;77.9191;352.2196;352.2238;259.8832;146.8410;1.5590;0.2458;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.6770;-0.0060;-0.0164;80.7467;-84.9758;1.0488;1.0470;-75.4955;78.2206;4.1325;1.1957;270.0742;147.9165;5.9364;2.7654
0.0000;-0.5469;False;False;80.8685;-85.2796;-0.0526;-0.0608;-75.1493;78.0393;359.6213;359.7748;270.0018;148.6621;0.1712;-0.0007;0.0014;0.2326;0.2275;-0.0024;-0.0023;-0.0025;233337;71.99763;Infinity;3209.21;80.3496;-84.3804;0.6765;0.7024;-75.9146;77.9187;352.2579;352.2646;259.8883;146.8412;1.5494;0.2445;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.7188;-0.0060;-0.0164;80.7462;-84.9754;1.0592;1.0570;-75.4962;78.2200;4.1889;1.3040;270.1106;148.2234;6.0150;2.7622
