-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0005;305.8757;85.1910;0.2039;0.0000;0.0021;0.0000;0.0000;0.0000;0.0002;0.0000;119840;71.96368;Infinity;1632.52;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5044;295.7785;83.3709;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.1, -0.4, -0.4, 0.8)_1.081002_System.String[];0.3391;-0.0199;-0.0033;54.4323;-131.5414;1.1190;1.1400;-115.4253;-68.2289;9.9077;3.1183;306.5495;100.5367;5.7459;3.9328
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0005;305.8757;85.1903;0.2039;0.0000;0.0003;0.0000;0.0000;0.0000;0.0000;0.0000;119843;71.9818;Infinity;1632.56;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5042;295.7785;83.3705;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.3807;-0.0199;-0.0033;54.4324;-131.5416;1.1190;1.1400;-115.4254;-68.2289;9.8953;3.0614;306.5018;100.5079;5.7170;3.9205
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0006;305.8757;85.1904;0.2039;0.0000;0.0004;0.0000;0.0000;0.0000;0.0000;0.0000;119846;71.98806;Infinity;1632.60;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5043;295.7785;83.3700;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.4225;-0.0199;-0.0033;54.4324;-131.5417;1.1190;1.1400;-115.4254;-68.2289;9.8683;3.0287;306.4804;100.4637;5.7139;3.9017
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0006;305.8757;85.1912;0.2039;0.0000;-0.0008;0.0000;0.0000;0.0000;-0.0001;0.0000;119849;71.99252;Infinity;1632.64;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5043;295.7785;83.3707;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.4641;-0.0199;-0.0033;54.4324;-131.5418;1.1190;1.1399;-115.4254;-68.2290;9.8368;3.0333;306.4710;100.4065;5.7168;3.8814
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0006;305.8757;85.1921;0.2039;0.0000;-0.0005;0.0000;0.0000;0.0000;0.0000;0.0000;119852;71.99589;Infinity;1632.68;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5044;295.7785;83.3719;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.5057;-0.0199;-0.0033;54.4324;-131.5418;1.1190;1.1399;-115.4254;-68.2290;9.8202;3.0673;306.4594;100.3447;5.7021;3.8509
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0006;305.8757;85.1919;0.2039;0.0000;-0.0005;0.0000;0.0000;0.0000;0.0000;0.0000;119855;71.99736;Infinity;1632.73;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5044;295.7785;83.3720;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.5475;-0.0199;-0.0033;54.4324;-131.5419;1.1190;1.1399;-115.4254;-68.2290;9.8175;3.1035;306.4510;100.2931;5.6897;3.8010
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0005;305.8757;85.1915;0.2039;0.0000;0.0017;0.0000;0.0000;0.0000;0.0001;0.0000;119858;71.99661;Infinity;1632.77;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5043;295.7785;83.3714;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.5891;-0.0199;-0.0033;54.4325;-131.5419;1.1193;1.1399;-115.4254;-68.2290;9.8103;3.1141;306.4495;100.2603;5.6810;3.7535
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0005;305.8757;85.1910;0.2039;0.0000;0.0005;0.0000;0.0000;0.0000;0.0000;0.0000;119861;72.00278;Infinity;1632.81;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5042;295.7785;83.3711;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.6307;-0.0199;-0.0033;54.4325;-131.5419;1.1195;1.1399;-115.4254;-68.2290;9.7937;3.1227;306.4544;100.2342;5.6794;3.7223
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0006;305.8757;85.1911;0.2039;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;119864;71.99907;Infinity;1632.85;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5043;295.7785;83.3713;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.6725;-0.0199;-0.0033;54.4325;-131.5419;1.1197;1.1399;-115.4255;-68.2290;9.7797;3.1395;306.4562;100.2127;5.6819;3.7025
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0007;305.8757;85.1915;0.2039;0.0000;-0.0003;0.0000;0.0000;0.0000;0.0000;0.0000;119867;72.00236;Infinity;1632.89;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5044;295.7785;83.3717;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.3, -0.4, 0.1)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.7141;-0.0199;-0.0033;54.4324;-131.5419;1.1198;1.1399;-115.4257;-68.2290;9.7700;3.1342;306.4527;100.1945;5.6891;3.6799
