AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.3194;0.1430;False;False;54.6030;54.6030;-0.0001;-0.0001;-115.1288;-115.1288;0.3955;0.3955;305.9491;305.9491;0.2052;0.2052;-0.3188;-0.0031;-0.0031;0.2346;0.2346;-0.3188;546439;71.68466;3548.00;54.1977;98.3292;1.1762;1.1656;-115.2829;55.0821;352.8952;352.5676;308.9227;222.8090;359.8353;358.9322;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.6941;0.0253;-0.0049
0.3492;0.1973;False;False;54.5790;54.5790;-0.0004;-0.0004;-115.1111;-115.1111;0.3916;0.3916;305.9613;305.9613;0.2054;0.2054;-0.3709;-0.0035;-0.0035;0.2733;0.2733;-0.3709;546444;71.77453;3548.06;54.1743;98.3260;1.1760;1.1656;-115.2656;55.0776;352.8914;352.5642;308.9346;222.8086;359.8353;358.9317;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.7637;0.0253;-0.0049
0.3732;0.2880;False;False;54.5518;54.5518;-0.0006;-0.0006;-115.0911;-115.0911;0.3873;0.3873;305.9752;305.9752;0.2057;0.2057;-0.4130;-0.0039;-0.0039;0.3045;0.3045;-0.4130;546449;71.93018;3548.13;54.1479;98.3218;1.1758;1.1656;-115.2460;55.0715;352.8871;352.5603;308.9481;222.8087;359.8354;358.9311;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.8333;0.0253;-0.0049
0.3927;0.3751;False;False;54.5211;54.5211;-0.0009;-0.0009;-115.0685;-115.0685;0.3827;0.3827;305.9909;305.9909;0.2061;0.2061;-0.4721;-0.0044;-0.0044;0.3485;0.3485;-0.4721;546454;71.97938;3548.20;54.1179;98.3160;1.1755;1.1656;-115.2239;55.0629;352.8826;352.5544;308.9634;222.8071;359.8355;358.9302;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.9026;0.0253;-0.0049
0.4058;0.4278;False;False;54.4866;54.4866;-0.0012;-0.0012;-115.0430;-115.0430;0.3780;0.3780;306.0086;306.0086;0.2064;0.2064;-0.5182;-0.0048;-0.0048;0.3828;0.3828;-0.5182;546459;71.77619;3548.27;54.0843;98.3079;1.1752;1.1656;-115.1990;55.0512;352.8779;352.5464;308.9807;222.8059;359.8356;358.9290;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.9724;0.0253;-0.0061
0.4151;0.4590;False;False;54.4484;54.4484;-0.0016;-0.0016;-115.0147;-115.0147;0.3735;0.3735;306.0282;306.0282;0.2068;0.2068;-0.5809;-0.0054;-0.0054;0.4295;0.4295;-0.5809;546464;71.67149;3548.34;54.0468;98.2971;1.1749;1.1656;-115.1712;55.0354;352.8733;352.5372;308.9999;222.8040;359.8357;358.9276;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];1.0422;0.0248;-0.0098
0.4206;0.4774;False;False;54.4064;54.4064;-0.0020;-0.0020;-114.9837;-114.9837;0.3693;0.3693;306.0492;306.0492;0.2070;0.2070;-0.6286;-0.0058;-0.0058;0.4647;0.4647;-0.6286;546469;71.85708;3548.41;54.0056;98.2835;1.1745;1.1656;-115.1406;55.0156;352.8690;352.5284;309.0207;222.8002;359.8358;358.9259;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];1.1116;0.0227;-0.0165
0.4239;0.4882;False;False;54.3605;54.3605;-0.0024;-0.0024;-114.9498;-114.9498;0.3655;0.3655;306.0701;306.0701;0.2070;0.2070;-0.6927;-0.0064;-0.0064;0.5113;0.5113;-0.6927;546474;71.75678;3548.48;53.9604;98.2669;1.1741;1.1656;-115.1071;54.9912;352.8651;352.5206;309.0419;222.7924;359.8356;358.9240;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9470347_System.String[];1.1814;0.0186;-0.0248
0.4258;0.4950;False;False;54.3108;54.3108;-0.0028;-0.0028;-114.9132;-114.9132;0.3621;0.3621;306.0887;306.0887;0.2065;0.2065;-0.7412;-0.0068;-0.0068;0.5456;0.5456;-0.7412;546479;71.88705;3548.55;53.9115;98.2475;1.1737;1.1656;-115.0710;54.9624;352.8617;352.5142;309.0612;222.7786;359.8351;358.9221;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9470347_System.String[];1.2510;0.0134;-0.0312
0.4269;0.5018;False;False;54.2572;54.2572;-0.0033;-0.0033;-114.8738;-114.8738;0.3591;0.3591;306.1031;306.1031;0.2060;0.2060;-0.8057;-0.0075;-0.0075;0.5910;0.5910;-0.8057;546484;71.93284;3548.62;53.8587;98.2250;1.1732;1.1656;-115.0320;54.9290;352.8587;352.5092;309.0765;222.7579;359.8342;358.9203;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9470347_System.String[];1.3203;0.0089;-0.0356
